Scenario,ObjectiveValue,Probability
Scenario1,-149.29588568066538,0.14772181618681887
Scenario2,-150.80085715592782,0.14938832511792668
Scenario3,-151.04502135247935,0.0706259491169832
Scenario4,-149.51416038252785,0.0510939804418387
Scenario5,-150.06677454477602,0.10520004057179803
Scenario6,-151.28259595806463,0.03583471834757933
Scenario7,-149.34064675157023,0.09902361685901058
Scenario8,-150.13639135120894,0.08070949150751673
Scenario9,-149.89124946270735,0.09498491267689642
Scenario10,-151.97227106889414,0.16541714917363162
