Scenario,ObjectiveValue,Probability
Scenario1,-346.02468440970694,0.05089351033530588
Scenario2,-346.3034115567258,0.11021477095204084
Scenario3,-345.55670935259246,0.12158684974072012
Scenario4,-346.0629741293127,0.05777033044348599
Scenario5,-344.7060140595724,0.06758367424589708
Scenario6,-346.7630464787198,0.1346094839404995
Scenario7,-345.1869100756074,0.11420942295574564
Scenario8,-346.1601595515306,0.059724710802114674
Scenario9,-346.53140885082024,0.22359893481259357
Scenario10,-346.07521230058927,0.059808311771596824
