Scenario,ObjectiveValue,Probability
Scenario1,-326.91580912213567,0.0932105262029135
Scenario2,-327.04074024746814,0.04191662592159793
Scenario3,-325.9518836573501,0.07316758241548314
Scenario4,-327.27408878996687,0.16422528679982767
Scenario5,-326.84827786002,0.09691921960286998
Scenario6,-326.9807137498439,0.16524749262645652
Scenario7,-326.691768289999,0.04825242241662667
Scenario8,-326.88555666353903,0.11413825783063178
Scenario9,-326.91548313061287,0.08820622375355974
Scenario10,-326.8480671058577,0.11471636243003319
