Scenario,ObjectiveValue,Probability
Scenario1,-296.5768163227874,0.2139325904510971
Scenario2,-296.50249249135004,0.08587360637460136
Scenario3,-295.81814399728154,0.06021611016333947
Scenario4,-295.65763779124336,0.11556655713823559
Scenario5,-295.9556254994654,0.09810850340646698
Scenario6,-296.76598523170753,0.0645843712152516
Scenario7,-294.736692987626,0.07822426048797672
Scenario8,-296.0089463175659,0.06120965934401877
Scenario9,-295.5771554169005,0.06147537050108784
Scenario10,-295.8816503357336,0.16080897091792443
