Scenario,ObjectiveValue,Probability
Scenario1,-196.06375897613503,0.0669169658471094
Scenario2,-195.41003515652704,0.09307909995297506
Scenario3,-195.54525677353203,0.1197348521309731
Scenario4,-196.1279128583176,0.15609841548890227
Scenario5,-196.59556068147043,0.06030221312118225
Scenario6,-196.58890038457577,0.21444146658080976
Scenario7,-195.48731348818603,0.09766322932310156
Scenario8,-195.37365762311916,0.08745598447885233
Scenario9,-195.2655493281018,0.04784714309089617
Scenario10,-195.47456140951363,0.056460629985197984
