Scenario,ObjectiveValue,Probability
Scenario1,-364.0636592905992,0.06465160382814844
Scenario2,-363.89736236956367,0.1906796009243431
Scenario3,-363.9469306577043,0.1291891257441858
Scenario4,-364.8474907159497,0.10965728905794837
Scenario5,-364.4670131409553,0.06753729459609892
Scenario6,-364.7221963311509,0.09529662337305533
Scenario7,-363.9845982805513,0.07814497002725437
Scenario8,-364.8783002666177,0.08478865391773731
Scenario9,-365.0613336215378,0.09732383944371831
Scenario10,-364.4363208413289,0.08273099908751019
