t,Scenario1.GAS_PRICE,Scenario1.POWER_PRICE,Scenario1.HEAT_PRICE,Scenario1.heat_demand,Scenario1.heat_demand_scenario,Scenario1.delta_heat_demand,Scenario1.probability,Scenario1.heat_storage1.initial_soc,Scenario1.chp1.bin,Scenario1.chp1.power,Scenario1.chp1.gas,Scenario1.chp1.heat,Scenario1.chp1.eta_th,Scenario1.chp1.eta_el,Scenario1.chp1.y1,Scenario1.chp1.y2,Scenario1.chp2.bin,Scenario1.chp2.power,Scenario1.chp2.gas,Scenario1.chp2.heat,Scenario1.chp2.eta_th,Scenario1.chp2.eta_el,Scenario1.chp2.y1,Scenario1.chp2.y2,Scenario1.boiler1.bin,Scenario1.boiler1.heat,Scenario1.boiler1.gas,Scenario1.boiler1.eta_th,Scenario1.boiler1.y1,Scenario1.boiler1.y2,Scenario1.heat_storage1.heat_charge,Scenario1.heat_storage1.bin_charge,Scenario1.heat_storage1.heat_discharge,Scenario1.heat_storage1.bin_discharge,Scenario1.heat_storage1.heat_balance,Scenario1.heat_storage1.heat_capacity,Scenario1.heat_storage1.dispatch_heat_capacity,Scenario1.heat_storage1.dispatch_heat_charge,Scenario1.heat_storage1.dispatch_heat_discharge,Scenario1.heat_storage1.dispatch_storage_capacity,Scenario1.heat_storage1.dispatch_extension,Scenario1.heat_storage1.use_extension,Scenario1.ngas_grid.gas_balance,Scenario1.power_grid.power_balance,Scenario1.power_grid.power_supply,Scenario1.power_grid.power_feedin,Scenario1.heat_grid.heat_balance,Scenario1.heat_grid.heat_supply,Scenario1.heat_grid.heat_feedin,Scenario1.heat_grid.dispatch_heat_feedin,Scenario1.heat_grid.dispatch_heat_supply,Scenario1.heat_grid.dispatch_heat_balance,Scenario1.arc01_expanded.power,Scenario1.arc02_expanded.power,Scenario1.arc03_expanded.heat,Scenario1.arc04_expanded.heat,Scenario1.arc05_expanded.heat,Scenario1.arc06_expanded.gas,Scenario1.arc07_expanded.gas,Scenario1.arc08_expanded.heat
1,0.1543,0.251,0.105,38.60309761638592,-17.017851531470235,55.62094914785615,0.008036180089529386,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38.095238095238095,119.04761904761905,75.0,0.6299999999968136,0.3200000000069921,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.39690238361413,1.0,0.0,0.0,-36.39690238361413,356.39690238361413,412.0178515314703,55.62094914785615,0.0,400.0,12.017851531470285,1.0,0.0,-38.095238095238095,0.0,38.095238095238095,0.0,36.39690238361413,75.0,0.0,55.62094914785615,0.0,0.0,38.095238095238095,0.0,75.0,0.0,0.0,0.0,0.0
2,0.1543,0.251,0.105,46.163915997180695,37.44621405731088,8.717701939869812,0.008036180089529386,320.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.163915997180695,1.0,46.163915997180695,310.2329863864334,318.95068832630324,8.717701939869812,0.0,318.95068832630324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.163915997180695,0.0,8.717701939869812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.163915997180695
3,0.1543,0.251,0.105,90.27590691534829,60.22592239374962,30.049984521598667,0.008036180089529386,320.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38.095238095238095,119.04761904761905,75.0,0.6299999999968136,0.3200000000069921,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.275906915346425,1.0,15.275906915346425,294.957079471087,325.0070639926857,30.049984521598667,0.0,325.0070639926857,0.0,-0.0,0.0,-38.095238095238095,0.0,38.095238095238095,0.0,0.0,90.27590691534829,0.0,30.049984521598667,0.0,0.0,38.095238095238095,0.0,75.0,0.0,0.0,0.0,15.275906915346425
4,0.1543,0.251,0.105,61.86315024214471,-10.892390642296789,72.7555408844415,0.008036180089529386,320.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38.095238095238095,119.04761904761905,75.0,0.6299999999968136,0.3200000000069921,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.13684975785715,1.0,0.0,-0.0,-13.13684975785715,308.09392922894415,380.8494701133857,72.7555408844415,0.0,380.8494701133857,0.0,-0.0,0.0,-38.095238095238095,0.0,38.095238095238095,0.0,13.13684975785715,75.0,0.0,72.7555408844415,0.0,0.0,38.095238095238095,0.0,75.0,0.0,0.0,0.0,0.0
5,0.1543,0.251,0.105,66.02640025718766,96.30965212639605,-30.283251869208385,0.008036180089529386,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38.095238095238095,119.04761904761905,75.0,0.6299999999968136,0.3200000000069921,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.973599742814201,1.0,0.0,-0.0,-8.973599742814258,317.0675289717584,286.78427710255005,0.0,30.283251869208385,286.78427710255005,0.0,0.0,0.0,-38.095238095238095,0.0,38.095238095238095,0.0,8.973599742814201,75.0,30.283251869208385,0.0,0.0,0.0,38.095238095238095,0.0,75.0,0.0,0.0,0.0,0.0
6,0.1543,0.251,0.105,64.04517879355971,34.64480403573461,29.400374757825105,0.008036180089529386,320.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38.095238095238095,119.04761904761905,75.0,0.6299999999968136,0.3200000000069921,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.954821206442148,1.0,0.0,-0.0,-10.954821206442148,328.02235017820055,357.42272493602565,29.400374757825105,0.0,357.42272493602565,0.0,-0.0,0.0,-38.095238095238095,0.0,38.095238095238095,0.0,10.954821206442148,75.0,0.0,29.400374757825105,0.0,0.0,38.095238095238095,0.0,75.0,0.0,0.0,0.0,0.0
7,0.1543,0.251,0.105,62.188697375537984,50.52317275893367,11.665524616604316,0.008036180089529386,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38.095238095238095,119.04761904761905,75.0,0.6299999999968207,0.3200000000002686,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.811302624462016,1.0,0.0,-0.0,-12.81130262446203,340.8336528026626,352.4991774192669,11.665524616604316,0.0,352.4991774192669,0.0,-0.0,0.0,-38.095238095238095,0.0,38.095238095238095,0.0,12.811302624462016,75.0,0.0,11.665524616604316,0.0,0.0,38.095238095238095,0.0,75.0,0.0,0.0,0.0,0.0
8,0.1543,0.251,0.105,57.7660936975,-4.15617522296867,61.92226892046867,0.008036180089529386,320.0,1.0,37.21858864027854,117.03958691910523,68.0,0.5809999999942644,0.31799999999930917,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.233906302502078,1.0,0.0,-0.0,-10.233906302502078,351.06755910516466,412.9898280256333,61.92226892046867,0.0,400.0,12.989828025633358,1.0,117.03958691910523,-37.21858864027854,0.0,37.21858864027854,0.0,10.233906302502078,68.0,0.0,61.92226892046867,0.0,37.21858864027854,0.0,68.0,0.0,0.0,0.0,117.03958691910523,0.0
9,0.1543,0.251,0.105,55.99101083967842,51.73628070822568,4.254730131452739,0.008036180089529386,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38.095238095238095,119.04761904761905,75.0,0.6299999999968051,0.3200000000002841,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.00898916032562,1.0,0.0,-0.0,-19.00898916032562,370.0765482654903,374.33127839694305,4.254730131452739,0.0,374.33127839694305,0.0,-0.0,0.0,-38.095238095238095,0.0,38.095238095238095,0.0,19.00898916032562,75.0,0.0,4.254730131452739,0.0,0.0,38.095238095238095,0.0,75.0,0.0,0.0,0.0,0.0
10,0.1543,0.251,0.105,50.22995456080667,-17.87567566942416,68.10563023023083,0.008036180089529386,320.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38.095238095238095,119.04761904761905,75.0,0.6299999999968207,0.3200000000002686,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.770045439193332,1.0,0.0,0.0,-24.770045439193325,394.84659370468364,462.95222393491446,68.10563023023083,0.0,400.0,62.95222393491446,1.0,0.0,-38.095238095238095,0.0,38.095238095238095,0.0,24.770045439193332,75.0,0.0,68.10563023023083,0.0,0.0,38.095238095238095,0.0,75.0,0.0,0.0,0.0,0.0
