t,Scenario3.GAS_PRICE,Scenario3.POWER_PRICE,Scenario3.HEAT_PRICE,Scenario3.heat_demand,Scenario3.heat_demand_scenario,Scenario3.delta_heat_demand,Scenario3.probability,Scenario3.chp1.bin,Scenario3.chp1.power,Scenario3.chp1.gas,Scenario3.chp1.heat,Scenario3.chp1.eta_th,Scenario3.chp1.eta_el,Scenario3.chp1.y1,Scenario3.chp1.y2,Scenario3.chp2.bin,Scenario3.chp2.power,Scenario3.chp2.gas,Scenario3.chp2.heat,Scenario3.chp2.eta_th,Scenario3.chp2.eta_el,Scenario3.chp2.y1,Scenario3.chp2.y2,Scenario3.boiler1.bin,Scenario3.boiler1.heat,Scenario3.boiler1.gas,Scenario3.boiler1.eta_th,Scenario3.boiler1.y1,Scenario3.boiler1.y2,Scenario3.heat_storage1.heat_charge,Scenario3.heat_storage1.bin_charge,Scenario3.heat_storage1.heat_discharge,Scenario3.heat_storage1.bin_discharge,Scenario3.heat_storage1.heat_balance,Scenario3.heat_storage1.heat_capacity,Scenario3.heat_storage1.dispatch,Scenario3.heat_storage1.dispatch_delta_heat_charge,Scenario3.heat_storage1.dispatch_delta_heat_discharge,Scenario3.heat_storage1.dispatch_heat_capacity,Scenario3.ngas_grid.gas_balance,Scenario3.power_grid.power_balance,Scenario3.power_grid.power_supply,Scenario3.power_grid.power_feedin,Scenario3.heat_grid.heat_balance,Scenario3.heat_grid.heat_supply,Scenario3.heat_grid.heat_feedin,Scenario3.heat_grid.dispatch_heat_feedin,Scenario3.arc01_expanded.power,Scenario3.arc02_expanded.heat,Scenario3.arc03_expanded.power,Scenario3.arc04_expanded.heat,Scenario3.arc05_expanded.heat,Scenario3.arc06_expanded.heat,Scenario3.arc07_expanded.gas,Scenario3.arc08_expanded.gas
11,0.1543,0.105,0.05,128.1881334012233,138.65639004699256,-10.468256645769259,0.0018672693600639012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,128.1881334012233,119.04887238728989,1.079770289764761,1.0,0.0,0.0,1.0,0.0,1.0,0.0,381.2016140811911,-10.468256645769259,0.0,10.468256645769259,109.6579894136817,119.04887238728989,0.0,0.0,0.0,0.0,128.1881334012233,128.1881334012233,-10.468256645769259,0.0,0.0,0.0,0.0,0.0,128.1881334012233,119.04887238728989,0.0
12,0.1543,0.105,0.05,123.8851574175104,112.07647776081856,11.808679656691837,0.0018672693600639012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26.372168284790547,93.85113268603715,58.0,0.6179999999651684,0.2810000000106169,1.0,0.0,1.0,123.8851574175104,114.9709225453048,1.080594057689571,1.0,0.0,58.0,1.0,0.0,1.0,-58.0,439.2016140811911,11.808679656691837,11.808679656691837,0.0,191.27534872706536,114.9709225453048,-26.372168284790547,0.0,26.372168284790547,0.0,123.8851574175104,123.8851574175104,11.808679656691837,0.0,0.0,26.372168284790547,58.0,0.0,123.8851574175104,114.9709225453048,0.0
13,0.1543,0.105,0.05,120.24610785605115,130.79938130020423,-10.553273444153078,0.0018672693600639012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,120.24610785605115,111.52217878277891,1.0812907225830934,1.0,0.0,0.0,1.0,0.0,1.0,0.0,439.2016140811911,-10.553273444153078,0.0,10.553273444153078,170.16880183875938,111.52217878277891,0.0,0.0,0.0,0.0,120.24610785605115,120.24610785605115,-10.553273444153078,0.0,0.0,0.0,0.0,0.0,120.24610785605115,111.52217878277891,0.0
14,0.1543,0.105,0.05,129.2256067900492,187.75896590573797,-58.53335911568877,0.0018672693600639012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,129.2256067900492,120.03209061998282,1.079571674363747,1.0,0.0,0.0,1.0,0.0,1.0,0.0,439.2016140811911,-58.53335911568877,0.0,58.53335911568877,53.102083607381815,120.03209061998284,0.0,0.0,0.0,0.0,129.2256067900492,129.2256067900492,-58.53335911568877,0.0,0.0,0.0,0.0,0.0,129.2256067900492,120.03209061998282,0.0
15,0.1543,0.105,0.05,144.84779804164918,156.00770585575472,-11.159907814105537,0.0018672693600639012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,144.84779804164918,134.8373120730091,1.076580939552067,1.0,0.0,0.0,1.0,0.0,1.0,0.0,439.2016140811911,-11.159907814105537,0.0,11.159907814105537,30.78226797917074,134.8373120730091,0.0,0.0,0.0,0.0,144.84779804164918,144.84779804164918,-11.159907814105537,0.0,0.0,0.0,0.0,0.0,144.84779804164918,134.8373120730091,0.0
16,0.1543,0.105,0.05,166.56653578784764,154.26296054959386,12.303575238253785,0.0018672693600639012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,166.56653578784764,155.4202582701206,1.072423073091646,1.0,0.0,0.0,1.0,0.0,1.0,0.0,439.2016140811911,12.303575238253785,12.303575238253785,0.0,55.38941845567831,155.4202582701206,0.0,0.0,0.0,0.0,166.56653578784764,166.56653578784764,12.303575238253785,0.0,0.0,0.0,0.0,0.0,166.56653578784764,155.4202582701206,0.0
17,0.1543,0.105,0.05,169.65940464198837,134.30020980846825,35.35919483352012,0.0018672693600639012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,169.65940464198837,158.35138410088592,1.07183096982002,1.0,0.0,0.0,1.0,0.0,1.0,0.0,439.2016140811911,35.35919483352012,35.35919483352012,0.0,126.10780812271855,158.35138410088592,0.0,0.0,0.0,0.0,169.65940464198837,169.65940464198837,35.35919483352012,0.0,0.0,0.0,0.0,0.0,169.65940464198837,158.35138410088592,0.0
18,0.1543,0.105,0.05,180.98217387350823,232.29408557071503,-51.311911697206796,0.0018672693600639012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,0.0,1.0,6.982173873508231,1.0,6.982173873508202,432.2194402076829,-51.311911697206796,0.0,51.311911697206796,16.50181085479673,162.46498599439482,0.0,0.0,0.0,0.0,180.98217387350823,180.98217387350823,-51.311911697206796,0.0,0.0,0.0,0.0,6.982173873508231,174.0,162.46498599439482,0.0
19,0.1543,0.105,0.05,159.72915392902087,139.32999195526955,20.39916197375132,0.0018672693600639012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,159.72915392902087,148.9404404936952,1.0737320313303853,1.0,0.0,0.0,1.0,0.0,1.0,0.0,432.2194402076829,20.39916197375132,20.39916197375132,0.0,57.30013480229937,148.9404404936952,0.0,0.0,0.0,0.0,159.72915392902087,159.72915392902087,20.39916197375132,0.0,0.0,0.0,0.0,0.0,159.72915392902087,148.9404404936952,0.0
20,0.1543,0.105,0.05,141.17185343819725,135.41598450930172,5.755868928895524,0.0018672693600639012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,110.74408525576834,102.51706889882205,1.0831098034863007,1.0,0.0,0.0,1.0,30.427768182428906,1.0,30.42776818242885,401.79167202525406,5.755868928895524,5.755868928895524,0.0,38.38410447766151,102.51706889882205,0.0,0.0,0.0,0.0,141.17185343819725,141.17185343819725,5.755868928895524,0.0,0.0,0.0,0.0,30.427768182428906,110.74408525576834,102.51706889882205,0.0
21,0.1543,0.105,0.05,103.37569949235706,83.1941321156152,20.181567376741853,0.0018672693600639012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,103.37569949235706,95.53401631537238,1.0845204178779448,1.0,0.0,0.0,1.0,0.0,1.0,0.0,401.79167202525406,20.181567376741853,20.181567376741853,0.0,78.74723923114522,95.53401631537238,0.0,0.0,0.0,0.0,103.37569949235706,103.37569949235706,20.181567376741853,0.0,0.0,0.0,0.0,0.0,103.37569949235706,95.53401631537238,0.0
22,0.1543,0.105,0.05,108.05637359730451,37.594109921522616,70.4622636757819,0.0018672693600639012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,108.05637359730451,99.96991237867881,1.083624342880376,1.0,0.0,0.0,1.0,0.0,1.0,0.0,401.79167202525406,70.4622636757819,70.4622636757819,0.0,219.671766582709,99.96991237867881,0.0,0.0,0.0,0.0,108.05637359730451,108.05637359730451,70.4622636757819,0.0,0.0,0.0,0.0,0.0,108.05637359730451,99.96991237867881,0.0
23,0.1543,0.105,0.05,106.48752403357732,105.55681914459154,0.9307048889857725,0.0018672693600639012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.666669347743965e-07,7.099171123917987e-05,6.565543076187889e-05,7.226167477434274e-07,6.666669347743965e-07,0.0,0.0,1.0,106.48745304186608,1.0,106.4874530418661,295.30421898338795,0.9307048889857725,0.9307048889857725,0.0,115.0457233188145,6.565543076187889e-05,0.0,0.0,0.0,0.0,106.48752403357732,106.48752403357732,0.9307048889857725,0.0,0.0,0.0,0.0,106.48745304186608,7.099171123917987e-05,6.565543076187889e-05,0.0
24,0.1543,0.105,0.05,111.895874623898,113.47079897135625,-1.57492434745825,0.0018672693600639012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,111.895874623898,1.0,111.89587462389801,183.40834435948994,-1.57492434745825,0.0,1.57492434745825,0.0,0.0,0.0,0.0,0.0,0.0,111.895874623898,111.895874623898,-1.57492434745825,0.0,0.0,0.0,0.0,111.895874623898,0.0,0.0,0.0
