t,Scenario9.GAS_PRICE,Scenario9.POWER_PRICE,Scenario9.HEAT_PRICE,Scenario9.heat_demand,Scenario9.heat_demand_scenario,Scenario9.delta_heat_demand,Scenario9.probability,Scenario9.heat_storage1.initial_soc,Scenario9.chp1.bin,Scenario9.chp1.power,Scenario9.chp1.gas,Scenario9.chp1.heat,Scenario9.chp1.eta_th,Scenario9.chp1.eta_el,Scenario9.chp1.y1,Scenario9.chp1.y2,Scenario9.chp2.bin,Scenario9.chp2.power,Scenario9.chp2.gas,Scenario9.chp2.heat,Scenario9.chp2.eta_th,Scenario9.chp2.eta_el,Scenario9.chp2.y1,Scenario9.chp2.y2,Scenario9.boiler1.bin,Scenario9.boiler1.heat,Scenario9.boiler1.gas,Scenario9.boiler1.eta_th,Scenario9.boiler1.y1,Scenario9.boiler1.y2,Scenario9.heat_storage1.heat_charge,Scenario9.heat_storage1.bin_charge,Scenario9.heat_storage1.heat_discharge,Scenario9.heat_storage1.bin_discharge,Scenario9.heat_storage1.heat_balance,Scenario9.heat_storage1.heat_capacity,Scenario9.heat_storage1.dispatch_heat_capacity,Scenario9.heat_storage1.dispatch_heat_charge,Scenario9.heat_storage1.dispatch_heat_discharge,Scenario9.heat_storage1.dispatch_storage_capacity,Scenario9.heat_storage1.dispatch_extension,Scenario9.heat_storage1.use_extension,Scenario9.ngas_grid.gas_balance,Scenario9.power_grid.power_balance,Scenario9.power_grid.power_supply,Scenario9.power_grid.power_feedin,Scenario9.heat_grid.heat_balance,Scenario9.heat_grid.heat_supply,Scenario9.heat_grid.heat_feedin,Scenario9.heat_grid.dispatch_heat_feedin,Scenario9.heat_grid.dispatch_heat_supply,Scenario9.heat_grid.dispatch_heat_balance,Scenario9.arc01_expanded.power,Scenario9.arc02_expanded.power,Scenario9.arc03_expanded.heat,Scenario9.arc04_expanded.heat,Scenario9.arc05_expanded.heat,Scenario9.arc06_expanded.gas,Scenario9.arc07_expanded.gas,Scenario9.arc08_expanded.heat
1,0.1543,0.251,0.105,99.06043762403417,64.88413403951098,34.17630358452318,0.05301073698763949,320.0,1.0,28.07182698193209,97.48481611514646,59.56702270558961,0.6122020159835906,0.2867979840099831,1.0,0.0,1.0,38.89001692047168,115.05922165820232,68.0,0.5910000000035853,0.338000000003376,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.506585081555443,1.0,0.0,0.0,-28.506585081555443,348.50658508155544,382.6828886660786,34.17630358452318,0.0,382.6828886660786,0.0,0.0,97.48481611514646,-66.96184390240377,0.0,66.96184390240377,0.0,28.506585081555443,127.56702270558961,0.0,34.17630358452318,0.0,28.07182698193209,38.89001692047168,59.56702270558961,68.0,0.0,0.0,97.48481611514646,0.0
2,0.1543,0.251,0.105,117.4738755440198,108.75617360414999,8.717701939869812,0.05301073698763949,320.0,1.0,37.21858864027854,117.03958691910523,68.0,0.5809999999942644,0.31799999999930917,1.0,0.0,1.0,38.89001692047812,115.0592216582155,68.0,0.5910000000035639,0.33800000000339747,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.526124455988082,1.0,0.0,0.0,-18.526124455988082,367.0327095375435,375.7504114774133,8.717701939869812,0.0,375.7504114774133,0.0,0.0,117.03958691910523,-76.10860556075666,0.0,76.10860556075666,0.0,18.526124455988082,136.0,0.0,8.717701939869812,0.0,37.21858864027854,38.89001692047812,68.0,68.0,0.0,0.0,117.03958691910523,0.0
3,0.1543,0.251,0.105,228.72247882556243,267.3505702819749,-38.62809145641248,0.05301073698763949,320.0,1.0,37.218588640276295,117.0395869191004,68.0,0.5809999999942721,0.3179999999993015,1.0,0.0,1.0,38.89001692047812,115.0592216582155,68.0,0.5910000000035639,0.33800000000339747,1.0,0.0,1.0,85.2,78.30882352940881,1.08800000000252,1.0,0.0,0.0,0.0,7.522478825556604,1.0,7.522478825556604,359.5102307119869,320.88213925557443,0.0,38.62809145641248,320.88213925557443,0.0,0.0,195.3484104485092,-76.10860556075441,0.0,76.10860556075441,0.0,0.0,228.72247882556243,38.62809145641248,0.0,0.0,37.218588640276295,38.89001692047812,68.0,68.0,85.2,78.30882352940881,117.0395869191004,7.522478825556604
4,0.1543,0.251,0.105,155.5176060132423,113.53015780663392,41.98744820660838,0.05301073698763949,320.0,1.0,37.21858864027854,117.03958691910523,68.0,0.5809999999942644,0.31799999999930917,1.0,0.0,1.0,38.89001692047168,115.05922165820232,68.0,0.5910000000035853,0.338000000003376,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.517606013240226,1.0,19.517606013240226,339.9926246987467,381.9800729053551,41.98744820660838,0.0,381.9800729053551,0.0,0.0,117.03958691910523,-76.10860556075022,0.0,76.10860556075022,0.0,0.0,155.5176060132423,0.0,41.98744820660838,0.0,37.21858864027854,38.89001692047168,68.0,68.0,0.0,0.0,117.03958691910523,19.517606013240226
5,0.1543,0.251,0.105,164.88238256743887,143.92305768640367,20.9593248810352,0.05301073698763949,320.0,1.0,37.218588640276295,117.0395869191004,68.0,0.5809999999942721,0.3179999999993015,1.0,0.0,1.0,38.89001692047812,115.0592216582155,68.0,0.5910000000035639,0.33800000000339747,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.882382567433055,1.0,28.88238256743307,311.1102421313136,332.0695670123488,20.9593248810352,0.0,332.06956701234884,0.0,-0.0,117.0395869191004,-76.10860556075441,0.0,76.10860556075441,0.0,0.0,164.88238256743887,0.0,20.9593248810352,0.0,37.218588640276295,38.89001692047812,68.0,68.0,0.0,0.0,117.0395869191004,28.882382567433055
6,0.1543,0.251,0.105,159.37807874227315,156.22773389091947,3.1503448513536796,0.05301073698763949,320.0,1.0,37.21858864027854,117.03958691910523,68.0,0.5809999999942644,0.31799999999930917,1.0,0.0,1.0,38.89001692047812,115.0592216582155,68.0,0.5910000000035639,0.33800000000339747,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.37807874226526,1.0,23.378078742265245,287.73216338904837,290.88250824040205,3.1503448513536796,0.0,290.88250824040205,0.0,0.0,117.03958691910523,-76.10860556075666,0.0,76.10860556075666,0.0,0.0,159.37807874227315,0.0,3.1503448513536796,0.0,37.21858864027854,38.89001692047812,68.0,68.0,0.0,0.0,117.03958691910523,23.37807874226526
7,0.1543,0.251,0.105,153.94431659204227,166.8680634865895,-12.923746894547236,0.05301073698763949,320.0,1.0,37.21858864027854,117.03958691910523,68.0,0.5809999999942644,0.31799999999930917,1.0,0.0,1.0,38.89001692047168,115.05922165820232,68.0,0.5910000000035853,0.338000000003376,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.944316592040195,1.0,17.944316592040252,269.7878467970081,256.8640999024609,0.0,12.923746894547236,256.8640999024609,0.0,0.0,117.03958691910523,-76.10860556075022,0.0,76.10860556075022,0.0,0.0,153.94431659204227,12.923746894547236,0.0,0.0,37.21858864027854,38.89001692047168,68.0,68.0,0.0,0.0,117.03958691910523,17.944316592040195
8,0.1543,0.251,0.105,142.05995775185283,133.09477254746747,8.965185204385364,0.05301073698763949,320.0,1.0,37.21858864027854,117.03958691910523,68.0,0.5809999999942644,0.3179999999993092,1.0,0.0,1.0,38.89001692047812,115.0592216582155,68.0,0.5910000000035639,0.33800000000339747,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.059957751844948,1.0,6.059957751844948,263.7278890451632,272.69307424954854,8.965185204385364,0.0,272.69307424954854,0.0,0.0,117.03958691910523,-76.10860556075666,0.0,76.10860556075666,0.0,0.0,142.05995775185283,0.0,8.965185204385364,0.0,37.21858864027854,38.89001692047812,68.0,68.0,0.0,0.0,117.03958691910523,6.059957751844948
9,0.1543,0.251,0.105,136.38271999666762,107.18990605034843,29.19281394631919,0.05301073698763949,320.0,1.0,37.21858864027854,117.03958691910523,68.0,0.5809999999942644,0.31799999999930917,1.0,0.0,1.0,38.89001692047812,115.0592216582155,68.0,0.5910000000035639,0.33800000000339747,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38271999665973055,1.0,0.38271999665973055,263.34516904850346,292.53798299482264,29.19281394631919,0.0,292.53798299482264,0.0,0.0,117.03958691910523,-76.10860556075666,0.0,76.10860556075666,0.0,0.0,136.38271999666762,0.0,29.19281394631919,0.0,37.21858864027854,38.89001692047812,68.0,68.0,0.0,0.0,117.03958691910523,0.38271999665973055
10,0.1543,0.251,0.105,121.0224347828981,82.04491932613129,38.97751545676681,0.05301073698763949,320.0,1.0,37.21858864027854,117.03958691910523,68.0,0.5809999999942644,0.31799999999930917,1.0,0.0,1.0,38.89001692047168,115.05922165820232,68.0,0.5910000000035853,0.338000000003376,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.977565217103972,1.0,0.0,0.0,-14.977565217103972,278.32273426560744,317.30024972237425,38.97751545676681,0.0,317.30024972237425,0.0,-0.0,117.03958691910523,-76.10860556075022,0.0,76.10860556075022,0.0,14.977565217103972,136.0,0.0,38.97751545676681,0.0,37.21858864027854,38.89001692047168,68.0,68.0,0.0,0.0,117.03958691910523,0.0
