t,Scenario5.GAS_PRICE,Scenario5.POWER_PRICE,Scenario5.HEAT_PRICE,Scenario5.heat_demand,Scenario5.heat_demand_scenario,Scenario5.delta_heat_demand,Scenario5.probability,Scenario5.chp1.bin,Scenario5.chp1.power,Scenario5.chp1.gas,Scenario5.chp1.heat,Scenario5.chp1.eta_th,Scenario5.chp1.eta_el,Scenario5.chp1.y1,Scenario5.chp1.y2,Scenario5.chp2.bin,Scenario5.chp2.power,Scenario5.chp2.gas,Scenario5.chp2.heat,Scenario5.chp2.eta_th,Scenario5.chp2.eta_el,Scenario5.chp2.y1,Scenario5.chp2.y2,Scenario5.boiler1.bin,Scenario5.boiler1.heat,Scenario5.boiler1.gas,Scenario5.boiler1.eta_th,Scenario5.boiler1.y1,Scenario5.boiler1.y2,Scenario5.heat_storage1.heat_charge,Scenario5.heat_storage1.bin_charge,Scenario5.heat_storage1.heat_discharge,Scenario5.heat_storage1.bin_discharge,Scenario5.heat_storage1.heat_balance,Scenario5.heat_storage1.heat_capacity,Scenario5.heat_storage1.dispatch_heat_capacity,Scenario5.heat_storage1.dispatch_heat_charge,Scenario5.heat_storage1.dispatch_heat_discharge,Scenario5.ngas_grid.gas_balance,Scenario5.power_grid.power_balance,Scenario5.power_grid.power_supply,Scenario5.power_grid.power_feedin,Scenario5.heat_grid.heat_balance,Scenario5.heat_grid.heat_supply,Scenario5.heat_grid.heat_feedin,Scenario5.heat_grid.dispatch_heat_feedin,Scenario5.heat_grid.dispatch_heat_supply,Scenario5.heat_grid.dispatch_heat_balance,Scenario5.arc01_expanded.power,Scenario5.arc02_expanded.power,Scenario5.arc03_expanded.heat,Scenario5.arc04_expanded.heat,Scenario5.arc05_expanded.heat,Scenario5.arc06_expanded.gas,Scenario5.arc07_expanded.gas,Scenario5.arc08_expanded.heat
11,0.1543,0.251,0.105,126.99603698103137,82.65344102419397,44.3425959568374,0.007909008308975403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,47.00396301896863,1.0,0.0,0.0,-47.00396301896863,321.0090488080231,469.21740512338283,44.3425959568374,0.0,162.46498599439482,0.0,0.0,0.0,0.0,47.00396301896863,174.0,0.0,44.3425959568374,0.0,0.0,0.0,0.0,0.0,174.0,162.46498599439482,0.0,0.0
12,0.1543,0.251,0.105,118.12931021970827,82.91920404419402,35.210106175514255,0.007909008308975403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,55.870689780291734,1.0,0.0,0.0,-55.870689780291684,376.8797385883148,560.2982010791889,35.210106175514255,0.0,162.46498599439482,0.0,0.0,0.0,0.0,55.870689780291734,174.0,0.0,35.210106175514255,0.0,0.0,0.0,0.0,0.0,174.0,162.46498599439482,0.0,0.0
13,0.1543,0.251,0.105,127.11248915420391,112.69533916633955,14.417149987864363,0.007909008308975403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,127.11248915420391,118.02947945928662,1.0799762126498886,1.0,0.0,0.0,0.0,0.0,1.0,0.0,376.8797385883148,574.7153510670532,14.417149987864363,0.0,118.02947945928662,0.0,0.0,0.0,0.0,0.0,127.11248915420391,0.0,14.417149987864363,0.0,0.0,0.0,0.0,0.0,127.11248915420391,118.02947945928662,0.0,0.0
14,0.1543,0.251,0.105,143.92225309423955,156.0755462641773,-12.15329316993774,0.007909008308975403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,30.07774690576045,1.0,0.0,0.0,-30.07774690576045,406.9574854940753,592.6398048028759,0.0,12.15329316993774,162.46498599439482,0.0,0.0,0.0,0.0,30.07774690576045,174.0,12.15329316993774,0.0,0.0,0.0,0.0,0.0,0.0,174.0,162.46498599439482,0.0,0.0
15,0.1543,0.251,0.105,153.96949988320094,114.33911410378602,39.63038577941492,0.007909008308975403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,153.96949988320094,143.48199025020267,1.074834667803121,1.0,0.0,0.0,0.0,0.0,1.0,0.0,406.9574854940753,632.2701905822909,39.63038577941492,0.0,143.48199025020267,0.0,0.0,0.0,0.0,0.0,153.96949988320094,0.0,39.63038577941492,0.0,0.0,0.0,0.0,0.0,153.96949988320094,143.48199025020267,0.0,0.0
16,0.1543,0.251,0.105,163.93908361154536,180.07862800828315,-16.13954439673779,0.007909008308975403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,10.060916388454643,1.0,0.0,0.0,-10.060916388454643,417.01840188252993,626.1915625740077,0.0,16.13954439673779,162.46498599439482,0.0,0.0,0.0,0.0,10.060916388454643,174.0,16.13954439673779,0.0,0.0,0.0,0.0,0.0,0.0,174.0,162.46498599439482,0.0,0.0
17,0.1543,0.251,0.105,172.6373879152593,193.453022709886,-20.815634794626703,0.007909008308975403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,172.6373879152593,161.17363234596925,1.0712608604095963,1.0,0.0,0.0,0.0,0.0,1.0,0.0,417.01840188252993,605.375927779381,0.0,20.815634794626703,161.17363234596925,0.0,0.0,0.0,0.0,0.0,172.6373879152593,20.815634794626703,0.0,0.0,0.0,0.0,0.0,0.0,172.6373879152593,161.17363234596925,0.0,0.0
18,0.1543,0.251,0.105,189.7709359695811,185.42248555227457,4.3484504173065375,0.007909008308975403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,0.0,0.0,15.770935969581103,1.0,15.770935969581103,401.2474659129488,593.9534422271064,4.3484504173065375,0.0,162.46498599439482,0.0,0.0,0.0,0.0,0.0,189.7709359695811,0.0,4.3484504173065375,0.0,0.0,0.0,0.0,0.0,174.0,162.46498599439482,0.0,15.770935969581103
19,0.1543,0.251,0.105,178.15899549410722,157.7598335203559,20.39916197375132,0.007909008308975403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,0.0,0.0,4.1589954941072165,1.0,4.1589954941072165,397.0884704188416,610.1936087067505,20.39916197375132,0.0,162.46498599439482,0.0,0.0,0.0,0.0,0.0,178.15899549410722,0.0,20.39916197375132,0.0,0.0,0.0,0.0,0.0,174.0,162.46498599439482,0.0,4.1589954941072165
20,0.1543,0.251,0.105,159.28416533270453,194.4851747013808,-35.20100936867627,0.007909008308975403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,159.28416533270453,148.5187227841607,1.0738172205886891,1.0,0.0,0.0,1.0,0.0,0.0,0.0,397.0884704188416,574.9925993380742,0.0,35.20100936867627,148.5187227841607,0.0,0.0,0.0,0.0,0.0,159.28416533270453,35.20100936867627,0.0,0.0,0.0,0.0,0.0,0.0,159.28416533270453,148.5187227841607,0.0,0.0
