t,Scenario5.GAS_PRICE,Scenario5.POWER_PRICE,Scenario5.HEAT_PRICE,Scenario5.heat_demand,Scenario5.heat_demand_scenario,Scenario5.delta_heat_demand,Scenario5.probability,Scenario5.heat_storage1.initial_soc,Scenario5.chp1.bin,Scenario5.chp1.power,Scenario5.chp1.gas,Scenario5.chp1.heat,Scenario5.chp1.eta_th,Scenario5.chp1.eta_el,Scenario5.chp1.y1,Scenario5.chp1.y2,Scenario5.chp2.bin,Scenario5.chp2.power,Scenario5.chp2.gas,Scenario5.chp2.heat,Scenario5.chp2.eta_th,Scenario5.chp2.eta_el,Scenario5.chp2.y1,Scenario5.chp2.y2,Scenario5.boiler1.bin,Scenario5.boiler1.heat,Scenario5.boiler1.gas,Scenario5.boiler1.eta_th,Scenario5.boiler1.y1,Scenario5.boiler1.y2,Scenario5.heat_storage1.heat_charge,Scenario5.heat_storage1.bin_charge,Scenario5.heat_storage1.heat_discharge,Scenario5.heat_storage1.bin_discharge,Scenario5.heat_storage1.heat_balance,Scenario5.heat_storage1.heat_capacity,Scenario5.heat_storage1.dispatch_heat_capacity,Scenario5.heat_storage1.dispatch_heat_charge,Scenario5.heat_storage1.dispatch_heat_discharge,Scenario5.ngas_grid.gas_balance,Scenario5.power_grid.power_balance,Scenario5.power_grid.power_supply,Scenario5.power_grid.power_feedin,Scenario5.heat_grid.heat_balance,Scenario5.heat_grid.heat_supply,Scenario5.heat_grid.heat_feedin,Scenario5.heat_grid.dispatch_heat_feedin,Scenario5.heat_grid.dispatch_heat_supply,Scenario5.heat_grid.dispatch_heat_balance,Scenario5.arc01_expanded.power,Scenario5.arc02_expanded.power,Scenario5.arc03_expanded.heat,Scenario5.arc04_expanded.heat,Scenario5.arc05_expanded.heat,Scenario5.arc06_expanded.gas,Scenario5.arc07_expanded.gas,Scenario5.arc08_expanded.heat
1,0.1543,0.251,0.105,124.98977175223166,133.7027592943744,-8.712987542142741,0.06753729459609892,320.0,1.0,37.21858864027854,117.03958691910523,68.0,0.5809999999942644,0.31799999999930917,1.0,0.0,1.0,37.21858864027854,117.03958691910523,68.0,0.5809999999942644,0.31799999999930917,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.010228247772488,1.0,0.0,0.0,-11.010228247772488,331.0102282477725,322.29724070562975,0.0,8.712987542142741,117.03958691910523,-74.43717728055708,0.0,74.43717728055708,0.0,11.010228247772488,136.0,8.712987542142741,0.0,0.0,37.21858864027854,37.21858864027854,68.0,68.0,0.0,0.0,117.03958691910523,0.0
2,0.1543,0.251,0.105,145.55580401563068,114.73425413753867,30.821549878092014,0.06753729459609892,320.0,1.0,37.21858864027628,117.0395869191004,68.0,0.5809999999942721,0.3179999999993015,1.0,0.0,1.0,37.21858864027628,117.03958691910034,68.0,0.580999999994272,0.31799999999930145,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.555804015630713,1.0,9.555804015630713,321.4544242321418,343.56298656809105,30.821549878092014,0.0,117.0395869191004,-74.43717728055256,0.0,74.43717728055256,0.0,0.0,145.55580401563068,0.0,30.821549878092014,0.0,37.21858864027628,37.21858864027628,68.0,68.0,0.0,0.0,117.0395869191004,9.555804015630713
3,0.1543,0.251,0.105,275.34757457519004,348.31470402060813,-72.9671294454181,0.06753729459609892,320.0,1.0,37.21858864027854,117.03958691910523,68.0,0.5809999999942644,0.3179999999993092,1.0,0.0,1.0,37.21858864027854,117.03958691910523,68.0,0.5809999999942644,0.31799999999930917,1.0,0.0,1.0,139.3475745751859,129.62472536538056,1.0776339102752885,1.0,0.0,0.0,0.0,0.0,1.0,0.0,321.4544242321418,270.59585712267295,0.0,72.9671294454181,246.6643122844858,-74.43717728055708,0.0,74.43717728055708,0.0,0.0,275.34757457519004,72.9671294454181,0.0,0.0,37.21858864027854,37.21858864027854,68.0,68.0,139.3475745751859,129.62472536538056,117.03958691910523,0.0
4,0.1543,0.251,0.105,181.00211485371895,169.7827593249437,11.219355528775253,0.06753729459609892,320.0,1.0,37.21858864027854,117.03958691910523,68.0,0.5809999999942644,0.31799999999930917,1.0,0.0,1.0,37.21858864027854,117.03958691910523,68.0,0.5809999999942644,0.31799999999930917,1.0,0.0,1.0,85.2,78.30882352940881,1.08800000000252,1.0,0.0,40.1978851462852,1.0,0.0,0.0,-40.1978851462852,361.652309378427,322.0130977977334,11.219355528775253,0.0,195.34841044851404,-74.43717728055708,0.0,74.43717728055708,0.0,40.1978851462852,221.2,0.0,11.219355528775253,0.0,37.21858864027854,37.21858864027854,68.0,68.0,85.2,78.30882352940881,117.03958691910523,0.0
5,0.1543,0.251,0.105,182.70854845981543,187.37051195390202,-4.661963494086592,0.06753729459609892,320.0,1.0,37.21858864027854,117.03958691910523,68.0,0.5809999999942644,0.3179999999993092,1.0,0.0,1.0,37.21858864027854,117.03958691910523,68.0,0.5809999999942644,0.31799999999930917,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.70854845981128,1.0,46.70854845981131,314.9437609186157,270.6425858438355,0.0,4.661963494086592,117.03958691910523,-74.43717728055708,0.0,74.43717728055708,0.0,0.0,182.70854845981543,4.661963494086592,0.0,0.0,37.21858864027854,37.21858864027854,68.0,68.0,0.0,0.0,117.03958691910523,46.70854845981128
6,0.1543,0.251,0.105,178.58838689263337,201.68807194775113,-23.09968505511776,0.06753729459609892,320.0,1.0,37.21858864027628,117.03958691910034,68.0,0.580999999994272,0.31799999999930145,1.0,0.0,1.0,37.21858864027854,117.03958691910523,68.0,0.5809999999942644,0.31799999999930917,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.58838689263295,1.0,42.58838689263297,272.3553740259827,204.95451389608482,0.0,23.09968505511776,117.03958691909885,-74.43717728055482,0.0,74.43717728055482,0.0,0.0,178.58838689263337,23.09968505511776,0.0,0.0,37.21858864027628,37.21858864027854,68.0,68.0,0.0,0.0,117.03958691910034,42.58838689263295
7,0.1543,0.251,0.105,195.4773022704869,208.40104916503412,-12.923746894547236,0.06753729459609892,320.0,1.0,37.21858864027854,117.03958691910523,68.0,0.5809999999942644,0.3179999999993092,1.0,0.0,1.0,37.21858864027628,117.0395869191004,68.0,0.5809999999942721,0.3179999999993015,1.0,0.0,1.0,85.2,78.30882352940881,1.08800000000252,1.0,0.0,25.72269772951519,1.0,0.0,0.0,-25.722697729515176,298.0780717554979,217.75346473105276,0.0,12.923746894547236,195.34841044851404,-74.43717728055482,0.0,74.43717728055482,0.0,25.72269772951519,221.2,12.923746894547236,0.0,0.0,37.21858864027854,37.21858864027628,68.0,68.0,85.2,78.30882352940881,117.03958691910523,0.0
8,0.1543,0.251,0.105,200.11534958005032,217.62870623370657,-17.513356653656245,0.06753729459609892,320.0,1.0,37.21858864027854,117.03958691910523,68.0,0.5809999999942644,0.31799999999930917,1.0,0.0,1.0,37.21858864027854,117.03958691910523,68.0,0.5809999999942644,0.31799999999930917,1.0,0.0,1.0,94.5052281334479,87.12743040522187,1.0862185937157114,1.0,0.0,30.38987855340173,1.0,0.0,0.0,-30.38987855340173,328.4679503088996,230.62998663079827,0.0,17.513356653656245,204.1670173243271,-74.43717728055708,0.0,74.43717728055708,0.0,30.38987855340173,230.50522813345205,17.513356653656245,0.0,0.0,37.21858864027854,37.21858864027854,68.0,68.0,94.5052281334479,87.12743040522187,117.03958691910523,0.0
9,0.1543,0.251,0.105,186.4453130916542,207.12866677506793,-20.683353683413713,0.06753729459609892,320.0,1.0,37.21858864027854,117.03958691910523,68.0,0.5809999999942644,0.31799999999930917,1.0,0.0,1.0,37.21858864027854,117.03958691910523,68.0,0.5809999999942644,0.31799999999930917,1.0,0.0,1.0,85.2,78.30882352940883,1.08800000000252,1.0,0.0,34.75468690834995,1.0,0.0,0.0,-34.75468690834998,363.2226372172496,244.7013198557345,0.0,20.683353683413713,195.34841044851407,-74.43717728055708,0.0,74.43717728055708,0.0,34.75468690834995,221.2,20.683353683413713,0.0,0.0,37.21858864027854,37.21858864027854,68.0,68.0,85.2,78.30882352940883,117.03958691910523,0.0
10,0.1543,0.251,0.105,160.56926082393596,121.59174536716915,38.97751545676681,0.06753729459609892,320.0,1.0,37.21858864027854,117.03958691910523,68.0,0.5809999999942644,0.31799999999930917,1.0,0.0,1.0,37.21858864027854,117.03958691910523,68.0,0.5809999999942644,0.31799999999930917,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.569260823935586,1.0,24.569260823935565,338.65337639331403,259.1095744885657,38.97751545676681,0.0,117.03958691910177,-74.43717728055708,0.0,74.43717728055708,0.0,0.0,160.56926082393596,0.0,38.97751545676681,0.0,37.21858864027854,37.21858864027854,68.0,68.0,0.0,0.0,117.03958691910523,24.569260823935586
