t,Scenario4.GAS_PRICE,Scenario4.POWER_PRICE,Scenario4.HEAT_PRICE,Scenario4.heat_demand,Scenario4.heat_demand_scenario,Scenario4.delta_heat_demand,Scenario4.probability,Scenario4.heat_storage1.initial_soc,Scenario4.heat_storage1.dispatch_buffer_charge,Scenario4.heat_storage1.dispatch_buffer_discharge,Scenario4.chp1.bin,Scenario4.chp1.power,Scenario4.chp1.gas,Scenario4.chp1.heat,Scenario4.chp1.eta_th,Scenario4.chp1.eta_el,Scenario4.chp1.y1,Scenario4.chp1.y2,Scenario4.chp2.bin,Scenario4.chp2.power,Scenario4.chp2.gas,Scenario4.chp2.heat,Scenario4.chp2.eta_th,Scenario4.chp2.eta_el,Scenario4.chp2.y1,Scenario4.chp2.y2,Scenario4.boiler1.bin,Scenario4.boiler1.heat,Scenario4.boiler1.gas,Scenario4.boiler1.eta_th,Scenario4.boiler1.y1,Scenario4.boiler1.y2,Scenario4.heat_storage1.heat_charge,Scenario4.heat_storage1.bin_charge,Scenario4.heat_storage1.heat_discharge,Scenario4.heat_storage1.bin_discharge,Scenario4.heat_storage1.heat_balance,Scenario4.heat_storage1.heat_capacity,Scenario4.heat_storage1.dispatch_heat_charge,Scenario4.heat_storage1.dispatch_heat_discharge,Scenario4.heat_storage1.dispatch_storage_capacity,Scenario4.heat_storage1.dispatch_storage_charge,Scenario4.heat_storage1.dispatch_storage_discharge,Scenario4.heat_storage1.dispatch_external_charge,Scenario4.heat_storage1.dispatch_external_discharge,Scenario4.ngas_grid.gas_balance,Scenario4.power_grid.power_balance,Scenario4.power_grid.power_supply,Scenario4.power_grid.power_feedin,Scenario4.heat_grid.heat_balance,Scenario4.heat_grid.heat_supply,Scenario4.heat_grid.heat_feedin,Scenario4.heat_grid.dispatch_heat_feedin,Scenario4.heat_grid.dispatch_heat_supply,Scenario4.heat_grid.dispatch_heat_balance,Scenario4.arc01_expanded.power,Scenario4.arc02_expanded.power,Scenario4.arc03_expanded.heat,Scenario4.arc04_expanded.heat,Scenario4.arc05_expanded.heat,Scenario4.arc06_expanded.gas,Scenario4.arc07_expanded.gas,Scenario4.arc08_expanded.heat
11,0.1543,0.251,0.105,63.813918620145245,46.876748964611174,16.93716965553407,0.061311927729860556,320.0,12,12,1.0,37.21858864027636,117.03958691910054,68.0,0.5809999999942719,0.3179999999993015,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.186081379854825,1.0,0.0,0.0,-4.186081379854841,278.941104174049,28.93716965553407,12.0,346.0092916469494,16.93716965553407,0.0,0.0,0.0,117.03958691910054,-37.21858864027636,0.0,37.21858864027636,0.0,4.186081379854825,68.0,12.0,28.93716965553407,0.0,37.21858864027636,0.0,68.0,0.0,0.0,0.0,117.03958691910054,0.0
12,0.1543,0.251,0.105,60.36967413846714,48.560994481775296,11.808679656691844,0.061311927729860556,320.0,12,12,0.9999999487941619,37.21858673141481,117.03958091305796,67.99999651242597,0.5809999701960283,0.31799998369520993,0.9999999487941619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.63032547018988,0.9999999487121454,3.0962310745706147e-06,5.1287854684604244e-08,-7.630322373958806,286.5714265480078,23.808679656691844,12.0,353.6396140209082,0.0,0.0,11.808679656691844,0.0,117.03958091305796,-37.21858673141481,0.0,37.21858673141481,0.0,7.63032547018988,67.99999960865702,12.0,23.808679656691844,0.0,37.21858673141481,0.0,67.99999651242597,0.0,0.0,0.0,117.03958091305796,3.0962310745706147e-06
13,0.1543,0.251,0.105,57.56425658731211,43.14710659944774,14.41714998786437,0.061311927729860556,320.0,12,12,1.0,37.21858864027637,117.03958691910057,68.0,0.5809999999942719,0.3179999999993015,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.435743412687962,1.0,0.0,0.0,-10.435743412687941,297.00716996069576,26.41714998786437,12.0,374.447471876019,10.372114442422857,0.0,4.045035545441513,0.0,117.03958691910057,-37.21858864027637,0.0,37.21858864027637,0.0,10.435743412687962,68.0,12.0,26.41714998786437,0.0,37.21858864027637,0.0,68.0,0.0,0.0,0.0,117.03958691910057,0.0
14,0.1543,0.251,0.105,60.98169097888706,49.944951175949285,11.036739802937774,0.061311927729860556,320.0,12,12,1.0,37.21858864027628,117.03958691909989,68.0,0.5809999999942721,0.3179999999993015,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.018309021112945,1.0,0.0,0.0,-7.018309021112941,304.0254789818087,23.036739802937774,12.0,392.50252070006974,11.036739802937774,0.0,0.0,0.0,117.03958691909989,-37.21858864027628,0.0,37.21858864027628,0.0,7.018309021112945,68.0,12.0,23.036739802937774,0.0,37.21858864027628,0.0,68.0,0.0,0.0,0.0,117.03958691909989,0.0
15,0.1543,0.251,0.105,67.50252070006975,53.26728171741506,14.235238982654693,0.061311927729860556,320.0,12,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38.095238095238095,119.04761904761905,75.0,0.6299999999968136,0.3200000000069849,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.497479299930251,1.0,0.0,0.0,-7.497479299930251,311.52295828173897,26.235238982654693,12.0,400.0,0.0,0.0,14.235238982654693,0.0,0.0,-38.095238095238095,0.0,38.095238095238095,0.0,7.497479299930251,75.0,12.0,26.235238982654693,0.0,0.0,38.095238095238095,0.0,75.0,0.0,0.0,0.0,0.0
16,0.1543,0.251,0.105,76.73376262654419,92.87330702328197,-16.139544396737776,0.061311927729860556,320.0,12,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38.095238095238095,119.04761904761905,75.0,0.6299999999968203,0.3200000000069849,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.733762626543978,1.0,1.733762626543978,309.789195655195,12.0,28.139544396737776,382.12669297671823,0.0,16.139544396737776,0.0,0.0,0.0,-38.095238095238095,0.0,38.095238095238095,0.0,0.0,76.73376262654419,28.139544396737776,12.0,0.0,0.0,38.095238095238095,0.0,75.0,0.0,0.0,0.0,1.733762626543978
17,0.1543,0.251,0.105,77.28416391564672,70.01238389620002,7.271780019446695,0.061311927729860556,320.0,12,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38.095238095238095,119.04761904761905,75.0,0.6299999999968204,0.3200000000069849,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2841639156462605,1.0,2.2841639156462747,307.5050317395487,19.271780019446695,12.0,386.26745027098656,6.424921209914601,0.0,0.8468588095320939,0.0,0.0,-38.095238095238095,0.0,38.095238095238095,0.0,0.0,77.28416391564672,12.0,19.271780019446695,0.0,0.0,38.095238095238095,0.0,75.0,0.0,0.0,0.0,2.2841639156462605
18,0.1543,0.251,0.105,81.38542782879757,77.03697741149105,4.348450417306523,0.061311927729860556,320.0,12,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38.095238095238095,119.04761904761905,75.0,0.6299999999968203,0.3200000000069849,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.385427828797361,1.0,6.385427828797361,301.1196039107514,16.348450417306523,12.0,384.23047285949576,4.348450417306523,0.0,0.0,0.0,0.0,-38.095238095238095,0.0,38.095238095238095,0.0,0.0,81.38542782879757,12.0,16.348450417306523,0.0,0.0,38.095238095238095,0.0,75.0,0.0,0.0,0.0,6.385427828797361
19,0.1543,0.251,0.105,70.93446945534811,50.535307481596796,20.399161973751312,0.061311927729860556,320.0,12,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38.095238095238095,119.04761904761905,75.0,0.6299999999968204,0.3200000000069849,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.06553054465237,1.0,0.0,0.0,-4.065530544652347,305.1851344554037,32.39916197375131,12.0,388.2960034041481,0.0,0.0,20.399161973751312,0.0,0.0,-38.095238095238095,0.0,38.095238095238095,0.0,4.06553054465237,75.0,12.0,32.39916197375131,0.0,0.0,38.095238095238095,0.0,75.0,0.0,0.0,0.0,0.0
20,0.1543,0.251,0.105,62.05187233304367,56.29600340414814,5.755868928895531,0.061311927729860556,320.0,12,12,1.0,37.21858864027631,117.03958691910046,68.0,0.5809999999942721,0.3179999999993015,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.948127666956359,1.0,0.0,0.0,-5.948127666956359,311.13326212236007,17.75586892889553,12.0,400.0,5.755868928895531,0.0,0.0,0.0,117.03958691910046,-37.21858864027631,0.0,37.21858864027631,0.0,5.948127666956359,68.0,12.0,17.75586892889553,0.0,37.21858864027631,0.0,68.0,0.0,0.0,0.0,117.03958691910046,0.0
21,0.1543,0.251,0.105,44.91448763715436,43.03404162040216,1.8804460167522024,0.061311927729860556,320.0,12,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.91448763715438,1.0,44.91448763715438,266.2187744852057,13.880446016752202,12.0,356.96595837959785,1.8804460167522024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.91448763715436,12.0,13.880446016752202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.91448763715438
22,0.1543,0.251,0.105,46.51840604807517,10.155345681464688,36.36306036661048,0.061311927729860556,320.0,12,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.51840604807521,1.0,46.51840604807336,219.70036843713234,48.36306036661048,12.0,334.16974575791744,23.72219342639485,0.0,12.640866940215634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.51840604807517,12.0,48.36306036661048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.51840604807521
23,0.1543,0.251,0.105,45.53478271251954,24.433680847910573,21.101101864608964,0.061311927729860556,320.0,12,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38.095238095238095,119.04761904761905,75.0,0.6299999999968136,0.3200000000069849,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.46521728748054,1.0,0.0,0.0,-29.465217287480527,249.16558572461287,33.101101864608964,12.0,384.73606491000874,21.101101864608964,0.0,0.0,0.0,0.0,-38.095238095238095,0.0,38.095238095238095,0.0,29.46521728748054,75.0,12.0,33.101101864608964,0.0,0.0,38.095238095238095,0.0,75.0,0.0,0.0,0.0,0.0
24,0.1543,0.251,0.105,47.58437895361071,49.15930330106896,-1.57492434745825,0.061311927729860556,320.0,12,12,1.0,33.33908264808383,108.74562963196774,64.4232383910602,0.5942340179473494,0.30476598204622424,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.838859437449457,1.0,0.0,0.0,-16.838859437449457,266.0044451620623,12.0,13.57492434745825,400.0,0.0,1.5749243474582109,0.0,0.0,108.74562963196774,-33.33908264808383,0.0,33.33908264808383,0.0,16.838859437449457,64.42323839106017,13.57492434745825,12.0,0.0,33.33908264808383,0.0,64.4232383910602,0.0,0.0,0.0,108.74562963196774,0.0
