t,Scenario3.GAS_PRICE,Scenario3.POWER_PRICE,Scenario3.HEAT_PRICE,Scenario3.heat_demand,Scenario3.heat_demand_scenario,Scenario3.delta_heat_demand,Scenario3.probability,Scenario3.heat_storage1.initial_soc,Scenario3.chp1.bin,Scenario3.chp1.power,Scenario3.chp1.gas,Scenario3.chp1.heat,Scenario3.chp1.eta_th,Scenario3.chp1.eta_el,Scenario3.chp1.y1,Scenario3.chp1.y2,Scenario3.chp2.bin,Scenario3.chp2.power,Scenario3.chp2.gas,Scenario3.chp2.heat,Scenario3.chp2.eta_th,Scenario3.chp2.eta_el,Scenario3.chp2.y1,Scenario3.chp2.y2,Scenario3.boiler1.bin,Scenario3.boiler1.heat,Scenario3.boiler1.gas,Scenario3.boiler1.eta_th,Scenario3.boiler1.y1,Scenario3.boiler1.y2,Scenario3.heat_storage1.heat_charge,Scenario3.heat_storage1.bin_charge,Scenario3.heat_storage1.heat_discharge,Scenario3.heat_storage1.bin_discharge,Scenario3.heat_storage1.heat_balance,Scenario3.heat_storage1.heat_capacity,Scenario3.heat_storage1.dispatch_heat_capacity,Scenario3.heat_storage1.dispatch_heat_charge,Scenario3.heat_storage1.dispatch_heat_discharge,Scenario3.heat_storage1.dispatch_storage_capacity,Scenario3.heat_storage1.dispatch_extension,Scenario3.heat_storage1.use_extension,Scenario3.ngas_grid.gas_balance,Scenario3.power_grid.power_balance,Scenario3.power_grid.power_supply,Scenario3.power_grid.power_feedin,Scenario3.heat_grid.heat_balance,Scenario3.heat_grid.heat_supply,Scenario3.heat_grid.heat_feedin,Scenario3.heat_grid.dispatch_heat_feedin,Scenario3.heat_grid.dispatch_heat_supply,Scenario3.heat_grid.dispatch_heat_balance,Scenario3.arc01_expanded.power,Scenario3.arc02_expanded.power,Scenario3.arc03_expanded.heat,Scenario3.arc04_expanded.heat,Scenario3.arc05_expanded.heat,Scenario3.arc06_expanded.gas,Scenario3.arc07_expanded.gas,Scenario3.arc08_expanded.heat
1,0.1543,0.251,0.105,39.40186428386688,26.670206262676658,12.73165802119022,0.0706259491169832,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.401864283866914,1.0,39.40186428386687,280.59813571613313,293.32979373732337,12.73165802119022,0.0,293.32979373732337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.40186428386688,0.0,12.73165802119022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.401864283866914
2,0.1543,0.251,0.105,46.99019330041012,38.27249136054031,8.717701939869812,0.0706259491169832,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38.0097664839634,113.25735176858402,67.20631330905286,0.5939366407600897,0.3350633592468716,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.21612000864274,1.0,0.0,0.0,-20.216120008642747,300.8142557247759,309.5319576646457,8.717701939869812,0.0,309.5319576646457,0.0,0.0,0.0,-38.0097664839634,0.0,38.0097664839634,0.0,20.21612000864274,67.20631330905286,0.0,8.717701939869812,0.0,0.0,38.0097664839634,0.0,67.20631330905286,0.0,0.0,0.0,0.0
3,0.1543,0.251,0.105,91.74858204272488,96.03763551013179,-4.289053467406916,0.0706259491169832,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38.890016920472306,115.0592216582036,68.0,0.5910000000035833,0.3380000000033781,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.748582042724312,1.0,23.74858204272431,277.06567368205157,272.77662021464465,0.0,4.289053467406916,272.77662021464465,0.0,0.0,0.0,-38.890016920472306,0.0,38.890016920472306,0.0,0.0,91.74858204272488,4.289053467406916,0.0,0.0,0.0,38.890016920472306,0.0,68.0,0.0,0.0,0.0,23.748582042724312
4,0.1543,0.251,0.105,62.7855768295266,51.566221300751344,11.219355528775253,0.0706259491169832,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999998662132435,33.10687624043232,103.22114603310618,62.785568424325035,0.6102932840334272,0.31870659161420284,0.9999998662132435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.405201562311504e-06,1.0,8.405201469940948e-06,277.0656652768501,288.2850208056253,11.219355528775253,0.0,288.2850208056253,0.0,0.0,0.0,-33.10687624043232,0.0,33.10687624043232,0.0,0.0,62.7855768295266,0.0,11.219355528775253,0.0,0.0,33.10687624043232,0.0,62.785568424325035,0.0,0.0,0.0,8.405201562311504e-06
5,0.1543,0.251,0.105,66.8230485866035,71.4850120806901,-4.661963494086592,0.0706259491169832,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38.89001692046986,115.0592216582155,68.0,0.5910000000035853,0.338000000003376,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1769514134023031,1.0,0.0,0.0,-1.1769514134023211,278.2426166902524,273.5806531961658,0.0,4.661963494086592,273.5806531961658,0.0,0.0,0.0,-38.89001692046986,0.0,38.89001692046986,0.0,1.1769514134023031,68.0,4.661963494086592,0.0,0.0,0.0,38.89001692046986,0.0,68.0,0.0,0.0,0.0,0.0
6,0.1543,0.251,0.105,64.71169606335478,61.561351212001114,3.1503448513536654,0.0706259491169832,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38.89001692047168,115.05922165820232,68.0,0.5910000000035853,0.338000000003376,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.288303936645221,1.0,0.0,0.0,-3.28830393664515,281.53092062689757,284.68126547825125,3.1503448513536654,0.0,284.68126547825125,0.0,0.0,0.0,-38.89001692047168,0.0,38.89001692047168,0.0,3.288303936645221,68.0,0.0,3.1503448513536654,0.0,0.0,38.89001692047168,0.0,68.0,0.0,0.0,0.0,0.0
7,0.1543,0.251,0.105,62.796379814695335,26.54158368693946,36.254796127755874,0.0706259491169832,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38.89001692046986,115.0592216582155,68.0,0.5910000000035853,0.338000000003376,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.20362018531047,1.0,0.0,0.0,-5.20362018531047,286.734540812208,322.9893369399639,36.254796127755874,0.0,322.9893369399639,0.0,0.0,0.0,-38.89001692046986,0.0,38.89001692046986,0.0,5.20362018531047,68.0,0.0,36.254796127755874,0.0,0.0,38.89001692046986,0.0,68.0,0.0,0.0,0.0,0.0
8,0.1543,0.251,0.105,58.38091571186399,22.93718864943697,35.44372706242702,0.0706259491169832,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38.89001692046986,115.0592216582155,68.0,0.5910000000035851,0.338000000003376,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.619084288141813,1.0,0.0,0.0,-9.619084288141835,296.35362510034986,331.79735216277686,35.44372706242702,0.0,331.79735216277686,0.0,0.0,0.0,-38.89001692046986,0.0,38.89001692046986,0.0,9.619084288141813,68.0,0.0,35.44372706242702,0.0,0.0,38.89001692046986,0.0,68.0,0.0,0.0,0.0,0.0
9,0.1543,0.251,0.105,56.659616665148384,52.404886533695645,4.254730131452739,0.0706259491169832,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38.89001692046736,115.05922165820232,68.0,0.5910000000035853,0.338000000003376,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.340383334851616,1.0,0.0,0.0,-11.340383334851616,307.69400843520145,311.9487385666542,4.254730131452739,0.0,311.9487385666542,0.0,0.0,0.0,-38.89001692046736,0.0,38.89001692046736,0.0,11.340383334851616,68.0,0.0,4.254730131452739,0.0,0.0,38.89001692046736,0.0,68.0,0.0,0.0,0.0,0.0
10,0.1543,0.251,0.105,50.83435300139382,40.98495231809102,9.849400683302804,0.0706259491169832,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38.89001692046736,115.05922165820232,68.0,0.5910000000035853,0.338000000003376,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.165646998606178,1.0,0.0,0.0,-17.165646998606178,324.85965543380763,334.70905611711044,9.849400683302804,0.0,334.70905611711044,0.0,0.0,0.0,-38.89001692046736,0.0,38.89001692046736,0.0,17.165646998606178,68.0,0.0,9.849400683302804,0.0,0.0,38.89001692046736,0.0,68.0,0.0,0.0,0.0,0.0
