t,Scenario2.GAS_PRICE,Scenario2.POWER_PRICE,Scenario2.HEAT_PRICE,Scenario2.heat_demand,Scenario2.heat_demand_scenario,Scenario2.delta_heat_demand,Scenario2.probability,Scenario2.chp1.bin,Scenario2.chp1.power,Scenario2.chp1.gas,Scenario2.chp1.heat,Scenario2.chp1.eta_th,Scenario2.chp1.eta_el,Scenario2.chp1.y1,Scenario2.chp1.y2,Scenario2.chp2.bin,Scenario2.chp2.power,Scenario2.chp2.gas,Scenario2.chp2.heat,Scenario2.chp2.eta_th,Scenario2.chp2.eta_el,Scenario2.chp2.y1,Scenario2.chp2.y2,Scenario2.boiler1.bin,Scenario2.boiler1.heat,Scenario2.boiler1.gas,Scenario2.boiler1.eta_th,Scenario2.boiler1.y1,Scenario2.boiler1.y2,Scenario2.heat_storage1.heat_charge,Scenario2.heat_storage1.bin_charge,Scenario2.heat_storage1.heat_discharge,Scenario2.heat_storage1.bin_discharge,Scenario2.heat_storage1.heat_balance,Scenario2.heat_storage1.heat_capacity,Scenario2.heat_storage1.dispatch,Scenario2.heat_storage1.dispatch_delta_heat_charge,Scenario2.heat_storage1.dispatch_delta_heat_discharge,Scenario2.heat_storage1.dispatch_heat_capacity,Scenario2.ngas_grid.gas_balance,Scenario2.power_grid.power_balance,Scenario2.power_grid.power_supply,Scenario2.power_grid.power_feedin,Scenario2.heat_grid.heat_balance,Scenario2.heat_grid.heat_supply,Scenario2.heat_grid.heat_feedin,Scenario2.heat_grid.dispatch_heat_feedin,Scenario2.arc01_expanded.power,Scenario2.arc02_expanded.power,Scenario2.arc03_expanded.heat,Scenario2.arc04_expanded.heat,Scenario2.arc05_expanded.heat,Scenario2.arc06_expanded.gas,Scenario2.arc07_expanded.gas,Scenario2.arc08_expanded.heat
1,0.1543,0.251,0.105,86.89020582132288,52.7139022367997,34.17630358452318,0.0018596261135372188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,87.10979417867712,1.0,0.0,0.0,-87.10979417867712,87.10979417867712,34.17630358452318,34.17630358452318,0.0,155.46240134772347,162.46498599439482,0.0,0.0,0.0,0.0,87.10979417867712,174.0,34.17630358452318,0.0,0.0,0.0,0.0,174.0,162.46498599439482,0.0,0.0
2,0.1543,0.251,0.105,102.67012913651094,93.95242719664112,8.717701939869812,0.0018596261135372188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,71.32987086348906,1.0,0.0,0.0,-71.32987086348906,158.43966504216618,8.717701939869812,8.717701939869812,0.0,244.22767609095217,162.46498599439482,0.0,0.0,0.0,0.0,71.32987086348906,174.0,8.717701939869812,0.0,0.0,0.0,0.0,174.0,162.46498599439482,0.0,0.0
3,0.1543,0.251,0.105,197.10818009752964,270.0753095429477,-72.96712944541807,0.0018596261135372188,1.0,47.608071739244835,142.49418906230474,80.58982587853477,0.5672111431082569,0.3323883723785922,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,57.48164578100513,1.0,0.0,0.0,-57.48164578100513,215.92131082317132,-72.96712944541807,0.0,72.96712944541807,155.77506298112118,304.95917505669956,-47.608071739244835,0.0,47.608071739244835,0.0,57.48164578100513,254.58982587853478,-72.96712944541807,47.608071739244835,0.0,80.58982587853477,0.0,174.0,162.46498599439482,142.49418906230474,0.0
4,0.1543,0.251,0.105,131.41110425250923,212.49602675723335,-81.08492250472412,0.0018596261135372188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,42.58889574749077,1.0,0.0,0.0,-42.58889574749077,258.5102065706621,-81.08492250472412,0.0,81.08492250472412,36.19411371916371,162.46498599439482,0.0,0.0,0.0,0.0,42.58889574749077,174.0,-81.08492250472412,0.0,0.0,0.0,0.0,174.0,162.46498599439482,0.0,0.0
5,0.1543,0.251,0.105,134.36278677058627,113.40346188955107,20.9593248810352,0.0018596261135372188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439536,1.070999999987968,1.0,0.0,39.637213229414314,1.0,0.0,0.0,-39.63721322941433,298.1474198000764,20.9593248810352,20.9593248810352,0.0,117.74997671064843,162.46498599439536,0.0,0.0,0.0,0.0,39.637213229414314,174.0,20.9593248810352,0.0,0.0,0.0,0.0,174.0,162.46498599439536,0.0,0.0
6,0.1543,0.251,0.105,133.35488413447985,130.20453928312617,3.1503448513536796,0.0018596261135372188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,40.645115865520154,1.0,0.0,0.0,-40.645115865520154,338.7925356655966,3.1503448513536796,3.1503448513536796,0.0,164.69578227887592,162.46498599439482,0.0,0.0,0.0,0.0,40.645115865520154,174.0,3.1503448513536796,0.0,0.0,0.0,0.0,174.0,162.46498599439482,0.0,0.0
7,0.1543,0.251,0.105,148.67082790766605,137.00530329106175,11.665524616604301,0.0018596261135372188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,25.32917209233395,1.0,0.0,0.0,-25.32917209233395,364.1217077579305,11.665524616604301,11.665524616604301,0.0,213.35600360441848,162.46498599439482,0.0,0.0,0.0,0.0,25.32917209233395,174.0,11.665524616604301,0.0,0.0,0.0,0.0,174.0,162.46498599439482,0.0,0.0
8,0.1543,0.251,0.105,155.76612945938308,146.80094425499772,8.965185204385364,0.0018596261135372188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,18.23387054061692,1.0,0.0,0.0,-18.23387054061692,382.35557829854736,8.965185204385364,8.965185204385364,0.0,249.52024455380612,162.46498599439482,0.0,0.0,0.0,0.0,18.23387054061692,174.0,8.965185204385364,0.0,0.0,0.0,0.0,174.0,162.46498599439482,0.0,0.0
9,0.1543,0.251,0.105,149.41335246313022,120.22053851681103,29.19281394631919,0.0018596261135372188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,24.586647536869776,1.0,0.0,0.0,-24.586647536869776,406.94222583541716,29.19281394631919,29.19281394631919,0.0,332.4925199833143,162.46498599439482,0.0,0.0,0.0,0.0,24.586647536869776,174.0,29.19281394631919,0.0,0.0,0.0,0.0,174.0,162.46498599439482,0.0,0.0
10,0.1543,0.251,0.105,132.52799498318225,151.80670907334346,-19.278714090161202,0.0018596261135372188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,41.47200501681775,1.0,0.0,0.0,-41.472005016817775,448.41423085223494,-19.278714090161202,0.0,19.278714090161202,335.4070968198096,162.46498599439482,0.0,0.0,0.0,0.0,41.47200501681775,174.0,-19.278714090161202,0.0,0.0,0.0,0.0,174.0,162.46498599439482,0.0,0.0
