t,Scenario1.GAS_PRICE,Scenario1.POWER_PRICE,Scenario1.HEAT_PRICE,Scenario1.heat_demand,Scenario1.heat_demand_scenario,Scenario1.delta_heat_demand,Scenario1.probability,Scenario1.chp1.bin,Scenario1.chp1.power,Scenario1.chp1.gas,Scenario1.chp1.heat,Scenario1.chp1.eta_th,Scenario1.chp1.eta_el,Scenario1.chp1.y1,Scenario1.chp1.y2,Scenario1.chp2.bin,Scenario1.chp2.power,Scenario1.chp2.gas,Scenario1.chp2.heat,Scenario1.chp2.eta_th,Scenario1.chp2.eta_el,Scenario1.chp2.y1,Scenario1.chp2.y2,Scenario1.boiler1.bin,Scenario1.boiler1.heat,Scenario1.boiler1.gas,Scenario1.boiler1.eta_th,Scenario1.boiler1.y1,Scenario1.boiler1.y2,Scenario1.heat_storage1.heat_charge,Scenario1.heat_storage1.bin_charge,Scenario1.heat_storage1.heat_discharge,Scenario1.heat_storage1.bin_discharge,Scenario1.heat_storage1.heat_balance,Scenario1.heat_storage1.heat_capacity,Scenario1.heat_storage1.dispatch,Scenario1.heat_storage1.dispatch_delta_heat_charge,Scenario1.heat_storage1.dispatch_delta_heat_discharge,Scenario1.heat_storage1.dispatch_heat_capacity,Scenario1.ngas_grid.gas_balance,Scenario1.power_grid.power_balance,Scenario1.power_grid.power_supply,Scenario1.power_grid.power_feedin,Scenario1.heat_grid.heat_balance,Scenario1.heat_grid.heat_supply,Scenario1.heat_grid.heat_feedin,Scenario1.heat_grid.dispatch_heat_feedin,Scenario1.arc01_expanded.power,Scenario1.arc02_expanded.power,Scenario1.arc03_expanded.heat,Scenario1.arc04_expanded.heat,Scenario1.arc05_expanded.heat,Scenario1.arc06_expanded.gas,Scenario1.arc07_expanded.gas,Scenario1.arc08_expanded.heat
11,0.1543,0.251,0.105,126.99603698103137,82.65344102419397,44.3425959568374,0.015360432598524727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,47.00396301896863,1.0,0.0,0.0,-47.00396301896863,338.06012082211646,44.3425959568374,44.3425959568374,0.0,297.0625281664384,162.46498599439482,0.0,0.0,0.0,0.0,47.00396301896863,174.0,44.3425959568374,0.0,0.0,0.0,0.0,174.0,162.46498599439482,0.0,0.0
12,0.1543,0.251,0.105,118.12931021970827,106.32063056301644,11.808679656691837,0.015360432598524727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,55.87068978029173,1.0,0.0,0.0,-55.87068978029173,393.9308106024082,11.808679656691837,11.808679656691837,0.0,376.5505772601138,162.46498599439482,0.0,0.0,0.0,0.0,55.87068978029173,174.0,11.808679656691837,0.0,0.0,0.0,0.0,174.0,162.46498599439482,0.0,0.0
13,0.1543,0.251,0.105,127.11248915420391,112.69533916633955,14.417149987864363,0.015360432598524727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,46.887510845796086,1.0,0.0,0.0,-46.887510845796086,440.8183214482043,14.417149987864363,14.417149987864363,0.0,452.2723880816386,162.46498599439482,0.0,0.0,0.0,0.0,46.887510845796086,174.0,14.417149987864363,0.0,0.0,0.0,0.0,174.0,162.46498599439482,0.0,0.0
14,0.1543,0.251,0.105,143.92225309423955,109.69548031842626,34.22677277581329,0.015360432598524727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,30.07774690576045,1.0,0.0,0.0,-30.07774690576045,470.8960683539648,34.22677277581329,34.22677277581329,0.0,550.8036805390257,162.46498599439482,0.0,0.0,0.0,0.0,30.07774690576045,174.0,34.22677277581329,0.0,0.0,0.0,0.0,174.0,162.46498599439482,0.0,0.0
15,0.1543,0.251,0.105,153.96949988320094,114.33911410378602,39.63038577941492,0.015360432598524727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,20.03050011679906,1.0,0.0,0.0,-20.03050011679906,490.92656847076387,39.63038577941492,39.63038577941492,0.0,650.0949522146545,162.46498599439482,0.0,0.0,0.0,0.0,20.03050011679906,174.0,39.63038577941492,0.0,0.0,0.0,0.0,174.0,162.46498599439482,0.0,0.0
16,0.1543,0.251,0.105,163.93908361154536,123.19238873830005,40.7466948732453,0.015360432598524727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599438928,1.0709999999879691,1.0,0.0,10.06091638844876,1.0,0.0,0.0,-10.06091638844876,500.9874848592126,40.7466948732453,40.7466948732453,0.0,741.6492583495939,162.46498599438928,0.0,0.0,0.0,0.0,10.06091638844876,174.0,40.7466948732453,0.0,0.0,0.0,0.0,174.0,162.46498599438928,0.0,0.0
17,0.1543,0.251,0.105,172.6373879152593,221.54043752395938,-48.90304960870009,0.015360432598524727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599438928,1.0709999999879691,1.0,0.0,1.3626120847348204,1.0,0.0,0.0,-1.3626120847348204,502.3500969439474,-48.90304960870009,0.0,48.90304960870009,645.2057712169285,162.46498599438928,0.0,0.0,0.0,0.0,1.3626120847348204,174.0,-48.90304960870009,0.0,0.0,0.0,0.0,174.0,162.46498599438928,0.0,0.0
18,0.1543,0.251,0.105,189.7709359695811,157.5923044950179,32.17863147456319,0.015360432598524727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,0.0,0.0,15.770935969581103,1.0,15.770935969581103,486.5791609743663,32.17863147456319,32.17863147456319,0.0,693.7920981964737,162.46498599439482,0.0,0.0,0.0,0.0,0.0,189.7709359695811,32.17863147456319,0.0,0.0,0.0,0.0,174.0,162.46498599439482,0.0,15.770935969581103
19,0.1543,0.251,0.105,178.15899549410722,157.7598335203559,20.39916197375132,0.015360432598524727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,0.0,0.0,4.1589954941072165,1.0,4.1589954941072165,482.4201654802591,20.39916197375132,20.39916197375132,0.0,730.4314266498691,162.46498599439482,0.0,0.0,0.0,0.0,0.0,178.15899549410722,20.39916197375132,0.0,0.0,0.0,0.0,174.0,162.46498599439482,0.0,4.1589954941072165
20,0.1543,0.251,0.105,159.28416533270453,153.528296403809,5.755868928895524,0.015360432598524727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599438928,1.0709999999879691,1.0,0.0,14.715834667289585,1.0,0.0,0.0,-14.715834667289585,497.13600014754866,5.755868928895524,5.755868928895524,0.0,756.6589991749497,162.46498599438928,0.0,0.0,0.0,0.0,14.715834667289585,174.0,5.755868928895524,0.0,0.0,0.0,0.0,174.0,162.46498599438928,0.0,0.0
