t,GAS_PRICE,POWER_PRICE,HEAT_PRICE,heat_demand,chp1.bin,chp1.power,chp1.gas,chp1.heat,chp1.eta_th,chp1.eta_el,chp1.y1,chp1.y2,boiler1.bin,boiler1.heat,boiler1.gas,boiler1.eta_th,boiler1.y1,boiler1.y2,heat_storage1.heat_charge,heat_storage1.bin_charge,heat_storage1.heat_discharge,heat_storage1.bin_discharge,heat_storage1.heat_balance,heat_storage1.heat_capacity,ngas_grid.gas_balance,power_grid.power_balance,power_grid.power_supply,power_grid.power_feedin,heat_grid.heat_balance,heat_grid.heat_supply,heat_grid.heat_feedin,arc03_expanded.heat,arc04_expanded.heat,arc05_expanded.gas,arc06_expanded.gas
13,0.1543,0.105,0.05,120.24610785605115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,120.2461078560019,111.52217878273223,1.081290722583103,1.0,0.0,0.0,1.0,0.0,1.0,0.0,34.89181990239104,111.52217878273223,0.0,0.0,0.0,0.0,120.24610785605115,120.24610785605115,0.0,120.2461078560019,111.52217878273223,0.0
14,0.1543,0.105,0.05,129.2256067900492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,129.2256067900492,120.03209061998282,1.079571674363747,1.0,0.0,0.0,1.0,0.0,1.0,0.0,34.89181990239104,120.03209061998282,0.0,0.0,0.0,0.0,129.2256067900492,129.2256067900492,0.0,129.2256067900492,120.03209061998282,0.0
15,0.1543,0.105,0.05,144.84779804164918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,144.84779804164918,134.8373120730091,1.076580939552067,1.0,0.0,0.0,1.0,0.0,1.0,0.0,34.89181990239104,134.8373120730091,0.0,0.0,0.0,0.0,144.84779804164918,144.84779804164918,0.0,144.84779804164918,134.8373120730091,0.0
16,0.1543,0.105,0.05,166.56653578784764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,166.56653578784764,155.4202582701206,1.072423073091646,1.0,0.0,0.0,1.0,0.0,1.0,0.0,34.89181990239104,155.4202582701206,0.0,0.0,0.0,0.0,166.56653578784764,166.56653578784764,0.0,166.56653578784764,155.4202582701206,0.0
17,0.1543,0.105,0.05,169.65940464198837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,169.65940464198837,158.35138410088592,1.07183096982002,1.0,0.0,0.0,1.0,0.0,1.0,0.0,34.89181990239104,158.35138410088592,0.0,0.0,0.0,0.0,169.65940464198837,169.65940464198837,0.0,169.65940464198837,158.35138410088592,0.0
18,0.1543,0.105,0.05,180.98217387350823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,0.0,1.0,6.982173873508231,1.0,6.982173873508231,27.90964602888281,162.46498599439482,0.0,0.0,0.0,0.0,180.98217387350823,180.98217387350823,6.982173873508231,174.0,162.46498599439482,0.0
19,0.1543,0.105,0.05,159.72915392902087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,159.72915392902087,148.9404404936952,1.0737320313303853,1.0,0.0,0.0,1.0,0.0,1.0,0.0,27.90964602888281,148.9404404936952,0.0,0.0,0.0,0.0,159.72915392902087,159.72915392902087,0.0,159.72915392902087,148.9404404936952,0.0
20,0.1543,0.105,0.05,141.17185343819725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,141.17185343819725,131.35360271196865,1.0772846676856105,1.0,0.0,0.0,1.0,0.0,1.0,0.0,27.90964602888281,131.35360271196865,0.0,0.0,0.0,0.0,141.17185343819725,141.17185343819725,0.0,141.17185343819725,131.35360271196865,0.0
21,0.1543,0.105,0.05,103.37569949235706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,103.3756994923436,95.53401631535962,1.0845204178779475,1.0,0.0,0.0,1.0,0.0,1.0,0.0,27.90964602886934,95.53401631535962,0.0,0.0,0.0,0.0,103.37569949235706,103.37569949235706,0.0,103.3756994923436,95.53401631535962,0.0
22,0.1543,0.105,0.05,108.05637359730451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,85.2,78.30882352940881,1.0879999999879681,1.0,0.0,0.0,1.0,22.85637359730451,1.0,22.85637359730451,5.053272431564828,78.30882352940881,0.0,0.0,0.0,0.0,108.05637359730451,108.05637359730451,22.85637359730451,85.2,78.30882352940881,0.0
23,0.1543,0.105,0.05,106.48752403357732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,106.48752403357732,98.48310653669516,1.0839246857022609,1.0,0.0,0.0,1.0,0.0,1.0,0.0,5.053272431564828,98.48310653669516,0.0,0.0,0.0,0.0,106.48752403357732,106.48752403357732,0.0,106.48752403357732,98.48310653669516,0.0
24,0.1543,0.105,0.05,111.895874623898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,106.84260219233317,98.81961571705581,1.0838567090277242,1.0,0.0,0.0,1.0,5.053272431564821,1.0,5.053272431564821,0.0,98.81961571705581,0.0,0.0,0.0,0.0,111.895874623898,111.895874623898,5.053272431564821,106.84260219233317,98.81961571705581,0.0
