date,total_forecast_hd,expected_total_hd,total_weighted_hd,total_actual_hd
20230316,4688.944218040639,4467.597672789461,4467.597672789461,3757.120901586
20230409,3742.442574460924,3529.691706425827,3529.6917064258273,2799.937546477
20230410,2971.9340068570255,2735.5633302149,2735.5633302149004,2410.429210937
20230501,2590.4953082487414,2383.715652481672,2383.715652481672,2395.433371632
20230515,1631.9960319890763,1405.9218406931402,1405.9218406931398,1659.58753026
20230619,1281.4896778808288,1032.2825378058474,1032.2825378058474,1174.7608547940001
20230622,1250.3084030768937,995.9827731371427,995.9827731371424,1105.162518637
20230709,1291.6677713545798,1097.9901009264613,1097.9901009264613,1146.737520649
20230710,1244.4031898850321,1084.6717628710242,1084.6717628710244,1092.645851285
